File Name,Timestamp (s),Pitch Value
audio10.webm,4.0,390396.15625
audio10.webm,4.5,403324.6875
audio10.webm,5.0,375793.84375
audio10.webm,5.5,372315.40625
audio10.webm,6.0,364319.0
audio10.webm,6.5,372477.84375
audio10.webm,7.0,392924.65625
audio10.webm,7.5,372503.46875
audio10.webm,8.0,336078.75
audio10.webm,8.5,404087.53125
audio10.webm,9.0,392363.90625
audio10.webm,9.5,417246.0625
audio10.webm,10.0,360344.84375
audio10.webm,10.5,390166.59375
audio10.webm,11.0,406319.34375
audio10.webm,11.5,377617.625
audio10.webm,12.0,384679.21875
audio10.webm,12.5,406686.75
audio462.webm,,
audio462.webm,0.0,461651.3125
audio462.webm,0.5,400650.5625
audio462.webm,1.0,396798.1875
audio462.webm,1.5,411834.1875
audio462.webm,2.0,412782.6875
audio462.webm,2.5,409150.15625
audio462.webm,3.0,395782.96875
audio462.webm,3.5,414199.4375
audio462.webm,4.0,379148.96875
audio462.webm,4.5,369996.46875
audio462.webm,5.0,397274.84375
audio462.webm,5.5,381956.78125
audio462.webm,6.0,422049.125
audio462.webm,6.5,346293.21875
audio462.webm,7.0,369296.09375
audio462.webm,7.5,381085.25
audio462.webm,8.0,373466.90625
audio462.webm,8.5,349576.78125
audio462.webm,9.0,386383.71875
audio462.webm,9.5,347966.15625
audio462.webm,10.0,360596.71875
audio462.webm,10.5,390100.78125
audio462.webm,11.0,389363.65625
audio462.webm,11.5,427861.59375
audio462.webm,12.0,388197.0
audio931.webm,,
audio931.webm,0.0,303543.65625
audio931.webm,0.5,371790.53125
audio931.webm,1.0,360659.90625
audio931.webm,1.5,405360.8125
audio931.webm,2.0,392400.84375
audio931.webm,2.5,375867.46875
audio931.webm,3.0,454840.4375
audio931.webm,3.5,364782.53125
audio931.webm,4.0,421264.0625
audio931.webm,4.5,392594.375
audio931.webm,5.0,351608.34375
audio931.webm,5.5,382829.75
audio931.webm,6.0,357411.21875
audio931.webm,6.5,371514.34375
audio1112.webm,,
audio1112.webm,0.0,356817.28125
audio1112.webm,0.5,442681.6875
audio1112.webm,1.0,435232.96875
audio1112.webm,1.5,410105.90625
audio1112.webm,2.0,353119.65625
audio1112.webm,2.5,349807.21875
audio1112.webm,3.0,413481.0
audio1112.webm,3.5,380843.34375
audio1112.webm,4.0,403864.6875
audio1112.webm,4.5,452981.0625
audio1112.webm,5.0,427901.34375
audio1112.webm,5.5,375043.53125
audio1112.webm,6.0,378394.3125
audio1112.webm,6.5,411213.46875
audio1112.webm,7.0,409115.90625
audio17(1).webm,,
audio17(1).webm,0.0,427339.40625
audio17(1).webm,0.5,427637.5625
audio17(1).webm,1.0,380060.8125
audio17(1).webm,1.5,349427.15625
audio17(1).webm,2.0,372324.8125
audio17(1).webm,2.5,324462.21875
audio17(1).webm,3.0,418169.34375
audio17(1).webm,3.5,402479.59375
audio17(1).webm,4.0,393804.84375
audio17(1).webm,4.5,387440.34375
audio17(1).webm,5.0,371627.65625
audio17(1).webm,5.5,357679.03125
audio17(1).webm,6.0,390549.15625
audio17(1).webm,6.5,396481.09375
audio17(1).webm,7.0,405565.96875
audio17(1).webm,7.5,416399.40625
audio17(1).webm,8.0,395781.90625
audio280(1).webm,,
audio280(1).webm,0.0,422378.46875
audio280(1).webm,0.5,430098.15625
audio280(1).webm,1.0,395390.59375
audio280(1).webm,1.5,382677.5625
audio280(1).webm,2.0,334107.84375
audio280(1).webm,2.5,375858.53125
audio280(1).webm,3.0,322886.21875
audio280(1).webm,3.5,346293.28125
audio280(1).webm,4.0,380519.5
audio280(1).webm,4.5,395106.53125
audio280(1).webm,5.0,424040.375
audio280(1).webm,5.5,392354.59375
audio280(1).webm,6.0,401946.25
audio280(1).webm,6.5,377110.8125
audio280(1).webm,7.0,412132.03125
audio280(1).webm,7.5,409991.28125
audio280(1).webm,8.0,396174.53125
audio280(1).webm,8.5,386697.5
audio280(1).webm,9.0,389940.84375
audio280(1).webm,9.5,353550.21875
audio280(1).webm,10.0,425523.15625
audio280(1).webm,10.5,393914.15625
audio1057.webm,,
audio1057.webm,0.0,365127.78125
audio1057.webm,0.5,409811.78125
audio1057.webm,1.0,397368.6875
audio1057.webm,1.5,373770.84375
audio1057.webm,2.0,393434.59375
audio1057.webm,2.5,378665.65625
audio1057.webm,3.0,371389.28125
audio1057.webm,3.5,411496.15625
audio1057.webm,4.0,383788.71875
audio1057.webm,4.5,396354.0625
audio1057.webm,5.0,429430.03125
audio1057.webm,5.5,375130.40625
audio1057.webm,6.0,349687.34375
audio1057.webm,6.5,383730.875
audio120.webm,,
audio120.webm,0.0,401241.40625
audio120.webm,0.5,365262.65625
audio120.webm,1.0,398559.46875
audio120.webm,1.5,423713.65625
audio120.webm,2.0,401783.65625
audio120.webm,2.5,427912.28125
audio120.webm,3.0,358816.53125
audio120.webm,3.5,394156.6875
audio120.webm,4.0,420624.71875
audio120.webm,4.5,413246.34375
audio120.webm,5.0,421478.46875
audio120.webm,5.5,403699.0625
audio120.webm,6.0,403668.21875
audio120.webm,6.5,404611.40625
audio120.webm,7.0,454547.59375
audio120.webm,7.5,438248.09375
audio120.webm,8.0,427697.40625
audio120.webm,8.5,385694.21875
audio120.webm,9.0,386083.21875
audio570.webm,,
audio570.webm,0.0,370361.53125
audio570.webm,0.5,378422.1875
audio570.webm,1.0,403840.375
audio570.webm,1.5,416550.3125
audio570.webm,2.0,383246.65625
audio570.webm,2.5,430435.34375
audio570.webm,3.0,414175.125
audio570.webm,3.5,399667.96875
audio570.webm,4.0,370323.21875
audio570.webm,4.5,347775.34375
audio570.webm,5.0,323468.84375
audio570.webm,5.5,400773.40625
audio570.webm,6.0,408981.96875
audio570.webm,6.5,351674.90625
audio570.webm,7.0,398537.46875
audio570.webm,7.5,432891.28125
audio570.webm,8.0,404483.5625
audio570.webm,8.5,367283.46875
audio570.webm,9.0,414426.375
audio570.webm,9.5,377303.65625
audio570.webm,10.0,388465.84375
audio570.webm,10.5,383923.75
audio570.webm,11.0,425688.875
audio570.webm,11.5,387783.84375
audio570.webm,12.0,372896.34375
audio570.webm,12.5,371806.90625
audio823.webm,,
audio823.webm,0.0,376678.15625
audio823.webm,0.5,390740.65625
audio823.webm,1.0,413114.6875
audio823.webm,1.5,392536.9375
audio823.webm,2.0,397162.96875
audio823.webm,2.5,357694.8125
audio823.webm,3.0,368091.21875
audio823.webm,3.5,386221.40625
audio823.webm,4.0,371719.5
audio823.webm,4.5,427044.90625
audio823.webm,5.0,377528.625
audio823.webm,5.5,384228.15625
audio823.webm,6.0,392963.59375
audio823.webm,6.5,402915.9375
audio823.webm,7.0,377103.8125
audio823.webm,7.5,374153.84375
audio823.webm,8.0,376286.46875
audio823.webm,8.5,386531.09375
audio823.webm,9.0,391730.90625
audio989.webm,,
audio989.webm,0.0,461138.78125
audio989.webm,0.5,434488.21875
audio989.webm,1.0,520119.90625
audio989.webm,1.5,425555.75
audio989.webm,2.0,405359.40625
audio989.webm,2.5,401010.25
audio989.webm,3.0,405210.84375
audio989.webm,3.5,395568.90625
audio989.webm,4.0,305697.15625
audio989.webm,4.5,341961.96875
audio989.webm,5.0,384793.34375
audio989.webm,5.5,363398.28125
audio989.webm,6.0,377341.3125
audio989.webm,6.5,407068.375
audio989.webm,7.0,418278.53125
audio989.webm,7.5,384867.28125
audio989.webm,8.0,429044.0625
audio989.webm,8.5,414813.40625
audio989.webm,9.0,436046.53125
audio989.webm,9.5,420499.0
audio989.webm,10.0,387813.5625
audio989.webm,10.5,403388.75
audio989.webm,11.0,353846.53125
audio989.webm,11.5,374510.34375
audio989.webm,12.0,366093.65625
audio989.webm,12.5,371282.90625
audio966.webm,,
audio966.webm,0.0,354014.21875
audio966.webm,0.5,362061.25
audio966.webm,1.0,416928.25
audio966.webm,1.5,410695.34375
audio966.webm,2.0,397064.28125
audio966.webm,2.5,389728.84375
audio966.webm,3.0,427081.09375
audio966.webm,3.5,382301.5625
audio966.webm,4.0,409877.84375
audio966.webm,4.5,411619.21875
audio966.webm,5.0,404073.1875
audio966.webm,5.5,353813.8125
audio966.webm,6.0,388400.25
audio966.webm,6.5,425106.6875
audio966.webm,7.0,406185.4375
audio966.webm,7.5,416511.09375
audio966.webm,8.0,391195.09375
audio966.webm,8.5,355831.78125
audio966.webm,9.0,414413.21875
audio966.webm,9.5,403206.125
audio966.webm,10.0,431224.21875
audio966.webm,10.5,412505.46875
audio966.webm,11.0,397110.9375
audio435.webm,,
audio435.webm,0.0,375562.09375
audio435.webm,0.5,366228.59375
audio435.webm,1.0,369226.8125
audio435.webm,1.5,402059.28125
audio435.webm,2.0,390053.78125
audio435.webm,2.5,393791.9375
